song,play_count,title,release,artist_name,song_era
SOABKYI12A58A7FFB1,1,Ouverture,Daft Club,Daft Punk,2000
SOABKZR12A8C13F516,1,Open Door (DJ Slow Mix),Halcyon Nights,BWO,0
SOABLAF12AB018E1D9,1,Lesson Learned,Black Gives Way To Blue,Alice In Chains,2005
SOABLMH12AAA15E6C1,6,Peter's Testimony,newsboys live: Houston We Are Go,Newsboys,2005
SOABLOU12AB0182F90,1,Make It This Time (feat. Biga),Sub.mersion,Kanka,2005
SOABLRP12AB0189DA1,16,Close To A World Below,Close To A World Below,Immolation,2000
SOABMLY12AF72A86B1,1,The Light & The Glass,In Keeping Secrets Of Silent Earth: 3,Coheed and Cambria,2000
SOABMYV12AC468A19D,1,Talking With Myself,Lifestyle2 - Chill Lounge Vol 2,Electribe 101,1990
SOABNAJ12A6D4F8C40,1,The First Season (Album Version),To Record Only Water For Ten Days,John Frusciante,2000
SOABNLP12A6D4F87F4,4,Mass Appeal (Explicit),Full Clip: A Decade Of Gang Starr,Gang Starr,0
SOABNPM12A58A7943A,2,It Ain't Easy Bein' Me (Album Version),Pure BS - Deluxe Edition,Blake Shelton,0
SOABNPW12A6D4FC9B5,8,The Canals Of Our City,The Gulag Orkestar,Beirut,2005
SOABNTD12A58A7DB2E,1,Our Farewell (Album Version),Mother Earth,Within Temptation,2000
SOABOFN12A8C13EBBC,3,Over The Rainbow,The Christmas Collection,Il Divo,2005
SOABOHM12AB018509C,1,Public Service Announcement (Interlude),The Black Album,Jay-Z,2000
SOABOXV12AC3DF82F7,5,The Drying of the Lawns,The Wild Hunt,The Tallest Man On Earth,2010
SOABOYG12A8C131BE7,8,The Ride,David Allan Coe - 16 Biggest Hits,David Allan Coe,1985
SOABPFS12AB018BF15,15,In All This Revelation,Split,Commit Suicide,2000
SOABPOJ12AB0188370,1,I Think I'll Start a Fire,Feel.Love.Thinking.Of.,Faunts,2005
SOABPQU12A58A78441,2,You'll Never Know (Live Version),Come Fly With Me,Michael Bublé,2000
SOABPWZ12A58A7DB00,1,1643,Freedom Fields,Seth Lakeman,2005
SOABQTG12A6701F3DB,3,Who's That Girl (Soundtrack Album Version),Who's That Girl Soundtrack,Madonna,0
SOABQUF12AB018913C,2,Up To No Good,Let The Dominoes Fall,Rancid,0
SOABRAB12A6D4F7AAF,3,A Pain That Im Used To,Playing The Angel,Depeche Mode,2005
SOABRDT12AB017F727,1,Mr Moon,Emergecy On Planet Earth/Return Of The Space Cowboy,Jamiroquai,1990
SOABSAI12AB018084B,1,Make Me Know You're Mine,The EMI Years - Best Of The Swinging Blue Jeans,The Swinging Blue Jeans,1995
SOABSFT12A8C1428D6,1,Something Just Ain't Right,Sweat Hotel - Live,Keith Sweat,1985
SOABTKM12A8AE4721E,1,Nothing's Clear (Album Version),Revolution Revolucion,Ill Nino,0
SOABTPC12A67020F33,17,Like A Drug,Lullabies To Paralyze,Queens Of The Stone Age,2005
SOABTTR12A6D4FC2EB,43,Oh Very Young,Remember Cat Stevens - The Ultimate Collection,Cat Stevens,1970
SOABTTU12A8C13C122,2,The Sparrow,The Way The Wind Blows,A Hawk And A Hacksaw,2005
SOABUHK12AF729E5E2,1,Buried Dreams,Wake Up And Smell The Carcass,Carcass,1990
SOABUII12A8AE469A5,3,Unmistakable,Unbreakable,Backstreet Boys,2005
SOABULH12A8C1331A4,1,Elegant People,The Best Of Weather Report,Weather Report,1975
SOABUOP12A6D4F7446,1,It Takes Two,Original Hits - Country,Chris Cagle,2000
SOABUWU12A8C13B9AF,1,Hard Luck Woman,A Tribute To The Creatures Of Night,Pretty Maids,1995
SOABWGO12AB0182725,2,I'm Just A Prisoner,Young Hearts Run Free,Candi Staton,1975
SOABWOG12AB017C97A,4,Hasta Morir,El Silencio,Caifanes,1990
SOABWOM12A6702073B,1,All I Really Want (Acoustic Album Version),Jagged Little Pill Acoustic,Alanis Morissette,2005
SOABWVD12A8C13C221,5,Adelita,Hijas De Eva,Pedro Guerra,2000
SOABWWV12AC95F073E,2,Your Sweet Eyes,BLOOM,Eric Johnson,0
SOABXNE12A8C13B818,4,Moan,Moan (digital release),Trentemøller,2005
SOABXNN12A6310DB58,1,Viborita,One Blood (Una Sangre),Lila Downs,2000
SOABYAA12AAF3B5036,1,Nice N Easy,Girl Singer,Rosemary Clooney,1990
SOABYFH12A6D4F96D6,2,Ya No Siento,Luna Nueva,Rosana,1995
SOABYPS12AB017BC94,1,"Dynamite Love (12"" Version)",Dynamite Love,Krafty Kuts vs Freestylers,0
SOABZOP12AF72A364D,1,Historia De Amor,Nuestro Destino Estaba Escrito,Intocable,2000
SOABZXJ12A58A7A218,1,Beat It Up,Big Money Heavy Weights,Big Tymers / Tateeze,0
SOACACA12AB01851C0,1,Last Response,Pathologic Syndrome,Negative Format,1995
SOACBAV12A67FFB2F1,5,Reverie,A Single Man,Elton John,1975
SOACBLB12AB01871C7,117,221,Spun,keller williams,1995
SOACBSR12AF729FDE3,1,Last Dance,Back At One,Brian McKnight,1995
SOACCEM12AB0188D31,2,The escape Artist,Blood,O.S.I.,2005
SOACCGT12AB018DDEE,3,Basement Track (High Contrast's Upstairs Downstairs Remix),High Contrast,High Contrast,2005
SOACCYZ12A6D4FAD78,1,Tisdag Morgon,Nådens År,Ulf Lundell,1990
SOACDHI12A58A7DE23,6,How Do You Want It,LIVE AT THE HOUSE OF BLUES,Tupac,2000
SOACDMD12A67AD8332,6,Player's Anthem feat. Notorious B.I.G._ Lil Cease and Lil Kim,The Best Of,Junior M.A.F.I.A.,0
SOACEQF12A58A7B70E,4,Escenas De La Vida(En Vivo),La Portuaria En Vivo,La Portuaria,0
SOACEXI12AB018853A,1,Never Born,Proud Like A God,Guano Apes,1995
SOACFPY12A67ADFA8D,1,Girl Laying Down,Separation Road,Anna Ternheim,2005
SOACFVL12A6D4FD8FD,17,Theme From Mahogany (Do You Know Where You're Going To),Motown Gold - The 1970s,Diana Ross,1990
SOACFZY12A81C21C74,2,I Never Wanted To Begin (Extended Version),Rage In Eden,Ultravox,1995
SOACGFH12A6D4FA895,1,Como Siento Yo,Hecho en Cuba,Rubén Gonzalez,1995
SOACGVR12A8C13B60A,1,These Stones Will Shout,Consolers Of The Lonely,The Raconteurs,2005
SOACHRJ12A8C13A38E,2,When I Close My Eyes,Don't Mess With The Dragon,Ozomatli,2005
SOACHXA12A58A7BE3E,2,Idiots Rule ( LP Version ),Nothing's Shocking,Jane's Addiction,1985
SOACIKZ12A6D4FC469,1,Story Of My Life (Album),Live At The Roxy,Social Distortion,1995
SOACIPG12A8AE47E1C,37,I Hate Everything About You,Three Days Grace (Deluxe Version),Three Days Grace,2000
SOACIYJ12AB018ACCA,7,The Blind House (Album Version),The Incident,Porcupine Tree,2005
SOACJFK12AB0184748,10,No. 13,Love (Expanded Edition),The Cult,1985
SOACKIA12A6D4F73D7,3,Work It Out,Feedback,Jurassic 5 / Dave Matthews Band,2005
SOACKJM12A8C141800,7,Earth_ Rain_ Rhythm_ Machine,The Earth Rain EP,Scott Wozniak,0
SOACKNX12A6D4F7E6F,1,What Cool Breezes Do,Reachin' (A New Refutation Of Time And Space),Digable Planets,1990
SOACKVO12A6D4F7BA6,5,(Mucho Mambo) Sway,Summer Holiday Hits,Shaft,0
SOACKYH12AF72A5907,3,Wax Simulacra,Wax Simulacra,The Mars Volta,2005
SOACLTN12A58A797B4,2,Emerald Eyes,Seven Worlds,Eric Johnson,0
SOACLUF12AB01834EC,1,Poor Boy Working Blues,This Is Americana Vol. 1: A View From Sugar Hill Records,Doyle Lawson & Quicksilver,2000
SOACMHA12A58A7BE75,4,Sunday Bacon,Felony,Emmure,2005
SOACMJT12AB017E0A4,2,LA,Brass Knuckles,Nelly / Snoop Dogg / Nate Dogg,2005
SOACMRQ12A58A7A690,1,Vamos (surfer Rosa),Wave Of Mutilation: Best Of Pixies,Pixies,2000
SOACNAY12A8C140FF8,1,Take You Back,Dark Matter Moving At the Speed of Light,Afrika Bambaataa,2000
SOACNJI12AF72A5698,3,Practice What You Preach,Barry White - Universal Masters Collection,Barry White,1990
SOACNQJ12A8C13B09E,13,You're Gonna Miss Me When I'm Gone,The Greatest Hits Collection,Brooks & Dunn,1990
SOACOCX12A6D4FA0CF,1,All That Remains,Free Fall,Jesse Cook,2000
SOACOFY12A6310F259,1,Waiting For Nothing,Distorted Ghost EP,Sparklehorse,2000
SOACOOH12A58A7CAB2,1,Roller,Joe Dirt - Music From The Motion Picture,April Wine,1985
SOACOUM12A8C1325CB,9,Faces Without Names,No Stranger To The Dark: The Best Of Gregg Allman,Gregg Allman,2000
SOACPBY12A8C13FEF9,15,Full Circle,Breakout,Miley Cyrus,2005
SOACPCU12A6D4F88A2,1,Betrayal (Explicit) (Feat. Scarface),Full Clip: A Decade Of Gang Starr,Gang Starr Featuring Scarface,0
SOACPSU12A81C231EF,7,Burn Clear,Been There_ Seen That_ Done That,Something Happens,1985
SOACQKN12A6701D89C,2,Black Sheep Of The Family,Ritchie Blackmore's Rainbow,Rainbow,1975
SOACQSN12AF729E69B,1,Falling Apart,Some Mad Hope,Matt Nathanson,2005
SOACRBY12AB017C757,1,On A Deeper Level,Trance Del Mar - Café Ibiza 2,Blufeld,0
SOACRGL12A8C138F5B,2,Empty Chairs  At Empty Tables,Les Misérables - 10th Anniversary Concert,Les Misérables - 10th Anniversary Concert,0
SOACSWQ12AB0189E2D,1,Morning (Album),Around The Well,Iron And Wine,0
SOACTJP12A67ADE925,4,From Souvenirs To Souvenirs,Demis Roussos - Greatest Hits (1971 - 1980),Demis Roussos,1995
SOACTVC12A6D4F773E,1,All That Jazz,Crystal Days 1979-1999,Echo And The Bunnymen,0
SOACUXB12A67ADD305,1,Outsider Intro,The Outsider,DJ Shadow,2005
SOACVJH12AB0188039,2,Go !,Alex Gopher (Versailles Special Edition),Alex Gopher,0
SOACVKD12A6D4F8F01,1,Proper Propaganda,Expansion Team,Dilated Peoples,2000
SOACVKI12A8AE4880E,2,Silent Night,Keren Ann,Keren Ann,2005
SOACVXG12A8C132DAD,1,Kilometer,Sexuality,Sebastien Tellier,2005
SOACVXT12A58A7E304,6,Bitter,...An Education In Rebellion,The Union Underground,2000
SOACWHE12A58A77912,2,Regular Guy (LP Version),First Time In A Long Time: The Reprise Recordings,Fanny,0
SOACWMO12A6701CB64,1,Genocide,Chinatown,Thin Lizzy,1980
SOACWNM12AB0182F2D,3,Worthy You Are Worthy,In Christ Alone,Matt Redman,0
SOACWTF12A6D4F98FA,41,True Colors (Album Version),American Tune,Eva Cassidy,2000
SOACWXW12AB018378B,5,Where Did I Go Wrong,Live Wide Open,Martin Sexton,2000
SOACWYB12AF729E581,5,Water Line,Human The Death Dance,Sage Francis,2005
SOACWZM12AC95F063E,1,Volvamos A Intentarlo,Compositora_ Cantante_ Mujer,Mimi Ibarra,0
SOACXET12AB01852E3,5,Combat Rock,One Beat,Sleater-kinney,2000
SOACXGN12AB018A7C4,2,Kalawanji,DEEP MEDi Releases Vol.1,Kromestar Ft. Cessman,2005
SOACXKV12AB0189328,1,Skyscraper,Julian Plenti Is& Skyscraper,Julian Plenti,2005
SOACYKU12A5891CC64,10,Speed,Around The World,Yahel,2005
SOACYUL12A6D4F9C79,11,Surprise Ice,Riot On An Empty Street,Kings Of Convenience,2000
SOACYZN12A8C13CAC7,1,Early Mornin' Rain,United Artists Collection_ The,Gordon Lightfoot,1970
SOACZNJ12A6D4FB1B1,1,Bellissima (Original 12''),Bellissima,DJ Quicksilver,1995
SOACZRQ12A8C131156,2,Ham Gallery,DISCERN / DEFINE,The Poets Of Rhythm,2000
SOACZUJ12AB0181450,1,Breathing Blood,Son Of The Morning,Oh_ Sleeper,2005
SOACZXK12A8AE479B0,1,I'm Pimpin' (Edit Version),I'm Pimpin',Trillville (Featuring E-40 & 8 Ball),0
SOACZYB12A8C13DBB0,1,If Work Permits,Dog Problems,The Format,0
SOADADH12A8C132AE8,4,Reinvention,A Long March: The First Recordings,As I Lay Dying,2000
SOADAJW12A8C13F06E,1,Won't Stay Late,Up Your Ass,88 Fingers Louie,1995
SOADANY12AC3DF44A4,4,Move Dat Body,Basic Injection,Basic Element,1990
SOADAWW12AB0184D34,3,Inhale Remix (Instrumental),In Rare Form,RJD2,0
SOADBAZ12A8AE47ABF,1,Donde Estes,Piedras,Duncan Dhu,1990
SOADBCV12A8C13F05E,1,Cuando Duermes,Grandes Exitos: Complicidad,Cómplices,1990
SOADBFA12A8C139EEF,1,Code Name Pandora,Aart,Acoustic Alchemy,2000
SOADCFY12A6310E353,2,Rock The House (Radio Edit),G-Sides,Gorillaz,2000
SOADCRU12A8C134EAA,1,Deep,The Clarence Greenwood Recordings,Citizen Cope,2000
SOADCYN12A6D4F8009,11,I Write Sins Not Tragedies (Album Version),I Write Sins Not Tragedies,Panic! At The Disco,2005
SOADDAF12AB018BE1D,1,Celestica,Celestica,Crystal Castles,2010
SOADDNZ12A8C142CF2,5,Good Die Young,D-12 World,D-12,2000
SOADDTL12A8C139092,1,Serenata,Pavarotti Love Songs,Luciano Pavarotti / Orchestra del Teatro Comunale di Bologna / Henry Mancini,2000
SOADELR12AB0181A6D,21,All I Want Is You (Josh Harris Remix),Just One Day,Kim Sozzi,2005
SOADENY12A6D4F75CB,2,Unfinished Sympathy (Perfecto Mix),Singles Collection,Massive Attack,1990
SOADEUY12A8C13D0C0,1,La La La Song,Trust,Low,0
SOADFJR12A58A7A1DA,13,Never Give Up,The Collection,Mike Nitty,0
SOADFMR12A6701FB5F,3,All The Way (Single Version),All The Way,Craig David,2005
SOADFRQ12A6310ECDB,1,Show Me The Real You,Second First Impression,Daniel Bedingfield,2000
SOADGAI12A6D4F64A3,1,Careless Memories,Duran Duran,Duran Duran,1980
SOADGDC12A8C133B24,1,Unfriendly Game,...and all the pieces matter_ Five Years of Music from The Wire,Masta Ace Feat. Stricklin,2000
SOADGFH12A8C143D89,12,Freedom Blade,Field Studies,This Will Destroy You,2005
SOADGPS12A8C14189F,1,Battle Me,Ravipops (The Substance),C-Rayz Walz,2000
SOADHXV12A8C13F8B3,5,Darlene (Album Version),The Complete Led Zeppelin,Led Zeppelin,0
SOADILZ12AF72A1A50,3,Obsesion (Si Es Amor),Obsesion,3rd Wish / Baby Bash,0
SOADIQC12A8C13F031,1,Ooh Na Na,Journey Of A Gemini,Donell Jones,2005
SOADISH12AB018DFAC,24,Talk Show Host,Blockbuster Movie Hits,Radiohead,1995
SOADJGO12AB0185D5B,28,If I Ever Fall In Love,If I Ever Fall In Love,Shai,1990
SOADJQJ12A8C141D38,195,Halo,Halo,Beyoncé,2005
SOADKGL12A8C133CD8,5,Hitch A Ride,Boston,Boston,1975
SOADKJJ12A67ADB371,2,La Nina,God's Project,Aventura,2005
SOADKLF12AB0183BE5,2,Veil Of Sun,Orbit Dance,MyGrain,2005
SOADKOB12AB017DB36,3,Falling,Lungs,Florence + The Machine,2005
SOADLAH12AB0180C3F,2,Declaration Of Love,Falling Into You,Céline Dion,1995
SOADLEU12AB017C851,1,After Afterall,The Sparrow And The Crow,William Fitzsimmons,2005
SOADLFY12A6D4F9602,42,Talk About It,It Takes Two,Soulsister,2005
SOADMBB12AB017C0F1,1,Union House Branch,Lonely Runs Both Ways,Alison Krauss / Union Station,2000
SOADMKP12A8C13BAA4,9,Champagne's For Celebrating (I'll Have A Martini) (Album),A Lesson In Romantics,Mayday Parade,2005
SOADMTV12A6701FA3F,10,Ray Of Light (Album Version),Ray Of Light,Madonna,1995
SOADNEA12AB0184F54,1,Appassionata (Canzone Appassionata),Guldkorn,Arja Saijonmaa,0
SOADNWB12A8C138A53,1,Le Mec Hamac,Je Dis Aime,M,0
SOADOEV12A8C13FEE1,6,What You Give,Gold,Tesla,1990
SOADOPV12A6701DC51,3,Self Help,Ether Song,Turin Brakes,2000
SOADOQJ12A8AE45C7E,71,Always Where I Need To Be,Always Where I Need To Be,The Kooks,2005
SOADOTK12AB0185F96,10,Can't Help Falling In Love,F4 Fantasy Live Concert World Tour At Hong Kong Coliseum 2VCD,F4,0
SOADOVQ12AB01797EB,1,Roam [Edit],Roam [Edit] / Bushfire [Digital 45],The B-52's,0
SOADOWZ12AB01887EF,5,Heroína,Obras Cumbres,SUMO,1985
SOADPOO12A8C13E78A,8,Ya Viene El Sol,Ya Viene El Sol (Bonus Tracks),Mecano,0
SOADPZJ12A6D4F9F2F,3,Usmev pana Lloyda,Corrida,Kabát,0
SOADQCI12AF72A2DAD,2,World Is Africa,Sinsemilla,Black Uhuru,1980
SOADQMO12A8C136FF9,3,Dumb Blood,Gone Faded,Soft,0
SOADQPP12A67020C82,60,You And Me Jesus,Tribute To Jake Hess,Jake Hess,2000
SOADQYG12AB0189D58,29,Pearl Of The Stars (Album Version),Year Of The Black Rainbow,Coheed and Cambria,2010
SOADRKM12B0B809505,2,Marla,Yellow House,Grizzly Bear,2005
SOADRNV12AB0183122,1,I Don't Know What I Want Us To Do,Peter Bjorn And John,Peter Bjorn And John,2000
SOADROX12AB017F1AE,3,Arrows Pointing Sideways,Positive Friction,Donna The Buffalo,2000
SOADRPH12A58A75E7C,6,Don't Stop The Rock,Don't Stop The Rock,Freestyle,1985
SOADRXW12AB017C837,1,Bill's Break,Bill's Break,Krazy Baldhead,2000
SOADSKA12AB01860FA,3,Luno,Silent Alarm,Bloc Party,2005
SOADTFO12AB0184AA5,1,Carry Me Down (Piano Version),Music From The Film 45 Days,Demon Hunter,0
SOADUMU12A67ADD30A,1,Turf Dancing (Feat. The Federation & Animaniaks),Enuff,DJ Shadow / The Federation / The Animaniaks,2005
SOADUXJ12AAF3B4944,2,New Scissors,We Breed Champions,Royal Bangs,2005
SOADVCV12A8C13F15B,5,Teen Beat,101 Rock 'N' Roll Classics,Sandy Nelson,1955
SOADVGL12A58A7CD10,1,Lizard,Fox,Miss Kenichi,0
SOADVOX12A8C1442C1,1,Black Ships Seen Last Year South Of Heaven,Black Ships Eat the Sky,Current 93,2005
SOADVUP12AB0185246,27,Until The Morning,The Richest Man In Babylon,Thievery Corporation,2000
SOADVVZ12A6702034A,2,If I Flee on Morning Wings (LP Version),The Breaking of the Dawn,Fernando Ortega,0
SOADWND12AB018CB0A,2,Writing's On The Wall,The Defamation of Strickland Banks,Plan B,0
SOADWVI12A6D4F7DB6,3,If You Love Me Like You Say,Collins Mix,Albert Collins,1980
SOADWVI12AF72AAD77,1,Irish,Head On Straight,Tonic,0
SOADXTU12AB0187DDD,8,The Demon's Whip (LP Version),The Triumph Of Steel,Manowar,1990
SOADYFM12A58A7B117,1,The Greenwood Side,Joan,Joan Baez,1965
SOADYOW12A6D4F89F2,5,Amphetamine,So Much For The Afterglow,Everclear,1995
SOADYYN12A6D4FB16C,9,Total Desaster,Thrash Anthems,DESTRUCTION,1980
SOADZGJ12AB0181B17,1,Ride With Me,The Stars Are Out,Sarah Borges and the Broken Singles,2005
SOADZRB12AAF3B3745,3,Talking Time Travel,Paullelujah!,MC Paul Barman,2000
